,size,width,height,br,psnr,ssim,vmaf
0,3260868,1920,1080,5715046.0,inf,1.0,100.0
1,2703327,1920,1080,5697779.0,inf,1.0,100.0
2,3245084,1920,1080,5914636.0,inf,0.97,98.315
3,2579876,1920,1080,5692838.0,40.497,0.962,98.228
4,3166806,1920,1080,5712516.0,44.346,0.978,96.009
5,2734086,1920,1080,5698841.0,43.52,0.976,97.741
6,2673351,1920,1080,5696520.0,44.673,0.982,98.346
7,3238783,1920,1080,5731136.0,44.264,0.983,98.59
8,2673120,1920,1080,5696522.0,44.554,0.984,98.798
9,2672657,1920,1080,5696522.0,44.649,0.984,98.761
10,3137434,1920,1080,5711606.0,40.88,0.972,96.887
11,3161165,1920,1080,5875095.0,41.26,0.973,98.158
12,2919803,1920,1080,5705116.0,42.324,0.977,99.012
13,2703531,1920,1080,5697664.0,44.664,0.985,98.743
14,2703476,1920,1080,5697656.0,46.649,0.989,99.601
15,3198164,1920,1080,5713338.0,48.07,0.99,98.684
16,2703502,1920,1080,5697755.0,70.096,1.0,100.0
17,2710524,1920,1080,5713378.0,56.591,0.995,99.572
18,3231801,1920,1080,5718931.0,46.143,0.988,99.026
19,2703781,1920,1080,5697664.0,44.685,0.985,99.003
20,3107374,1920,1080,5710759.0,45.443,0.983,97.751
21,3126898,1920,1080,5809423.0,46.726,0.989,99.191
22,2704124,1920,1080,5697647.0,44.561,0.985,98.578
23,3184830,1920,1080,5802098.0,46.093,0.985,98.165
24,2676516,1920,1080,5705035.0,45.601,0.986,97.432
25,2611143,1920,1080,5694090.0,45.53,0.985,97.485
26,3228817,1920,1080,5714108.0,44.774,0.985,97.333
27,2737706,1920,1080,5705218.0,44.469,0.984,96.875
28,3229047,1920,1080,5714119.0,43.08,0.98,96.768
29,2687023,1920,1080,6080704.0,46.971,0.988,98.444
